Metal,BAU,ONSITE_ELEC,PROCESS_HEAT,CHEMICALS_ELEC
"Lithium, brine",3.547547716332893,3.2810485186751754,1.6334625255396102,1.4831721475650974
"Lithium, spodumene",11.479599365019917,7.9390581419222785,3.8371778828096343,3.0258183754667813
Cobalt,12.775561958238647,11.569061622322963,10.318285665004355,8.786133931866262
"Graphite, natural",10.70748760337901,2.54316556666263,1.9644930018809472,1.7925464282950556
"Graphite, synthetic",11.080016555130221,8.258213294831288,6.3341307475427175,6.33375526113264
