Metal,BAU,ONSITE_ELEC,PROCESS_HEAT,CHEMICALS_ELEC,CHEMICALS_HEAT,GLOBAL_ELEC
"Lithium, brine",3.547547716332893,3.2810485186751754,1.6334625255396102,1.479101410686975,0.8446178317675099,0.6335698858491609
"Lithium, spodumene",11.479599365019917,7.9390581419222785,3.8371778828096343,3.0046290947353294,2.365322686739126,1.8544150506088544
Cobalt,12.775561958238647,11.569061622322963,10.318285665004355,8.553355203336498,8.37968383969442,7.755142935373376
"Graphite, natural",10.70748760337901,2.54316556666263,1.9644930018809472,1.760932371925544,1.6042237610805143,1.3513077291544813
"Graphite, synthetic",11.080016555130221,8.258213294831288,6.3341307475427175,6.322457643614842,6.319785511768545,6.224635925809976
