,Year,Scenario,"Lithium, brine","Lithium, spodumene",Cobalt,Nickel,"Graphite, natural"
0,2030,STEPS,67.87356892072293,67.87356892072293,-2.967665672059061,53.83735080651473,62.824905519276086
1,2030,APS,79.04310182187604,79.04310182187604,38.05430382578962,69.3736435806309,75.80351715239418
2,2030,NZE,87.60987869121313,87.60987869121313,63.10286860719951,81.02637627310926,85.6765014065895
3,2050,STEPS,84.28274763991685,84.28274763991685,55.25894069866302,72.48685079502673,37.240816578249806
4,2050,APS,92.96126621804643,92.96126621804643,77.30162122817141,86.32471938331963,75.55526785210537
5,2050,NZE,93.36434292236831,93.36434292236831,76.90869558155816,86.45879111029886,77.51484588479497
