Raw material,Stage,Source,Value
"Graphite, synthetic",Graphite crucibles,Fuels consumption,0
"Graphite, synthetic",Graphite crucibles,Reagents consumption,0.570694157
"Graphite, synthetic",Graphite crucibles,Process emissions,0.127592927
"Graphite, synthetic",Graphite crucibles,Other,0
"Graphite, synthetic",Calcination,Electricity consumption,0
"Graphite, synthetic",Calcination,Process heating,0.014227335
"Graphite, synthetic",Calcination,Fuels consumption,0
"Graphite, synthetic",Calcination,Reagents consumption,0.164076933
"Graphite, synthetic",Calcination,Process emissions,2.360123438
"Graphite, synthetic",Calcination,Other,2.876194656
"Lithium, brine - carbonate",Mining,Electricity consumption,0.005460731
"Lithium, brine - carbonate",Mining,Process heating,0
"Lithium, brine - carbonate",Mining,Fuels consumption,0.096925531
"Lithium, brine - carbonate",Mining,Reagents consumption,0
"Lithium, brine - carbonate",Mining,Process emissions,0
"Lithium, brine - carbonate",Mining,Other,0.096763554
"Lithium, brine - carbonate",Concentration,Electricity consumption,0.014558156
"Lithium, brine - carbonate",Concentration,Process heating,0.008750697
"Lithium, brine - carbonate",Concentration,Fuels consumption,0
"Lithium, brine - carbonate",Concentration,Reagents consumption,0.365317067
"Lithium, brine - carbonate",Concentration,Process emissions,0
"Lithium, brine - carbonate",Concentration,Other,0.152888264
"Lithium, brine - carbonate",Refining,Electricity consumption,0.233655255
"Lithium, brine - carbonate",Refining,Process heating,1.725425572
"Lithium, brine - carbonate",Refining,Fuels consumption,0
"Lithium, brine - carbonate",Refining,Reagents consumption,0.920349625
"Lithium, brine - carbonate",Refining,Process emissions,0
"Lithium, brine - carbonate",Refining,Other,0
"Lithium, spodumene - carbonate",Mining,Electricity consumption,0
"Lithium, spodumene - carbonate",Mining,Process heating,0
"Lithium, spodumene - carbonate",Mining,Fuels consumption,0
"Lithium, spodumene - carbonate",Mining,Reagents consumption,0
"Lithium, spodumene - carbonate",Mining,Process emissions,0
"Lithium, spodumene - carbonate",Mining,Other,0
