Metal,BAU,ONSITE_ELEC,PROCESS_HEAT,CHEMICALS_ELEC,CHEMICALS_HEAT,GLOBAL_ELEC
"Lithium, brine",7.702184411037539,6.682592605418283,3.5114772387108633,3.29114311486104,2.7092843426429223,2.4235709506123397
"Lithium, spodumene",17.23732293458235,13.962541537509917,6.001897530824754,4.573668427466119,4.400437040592421,3.5007609232806076
Cobalt,14.990897206160097,13.83438850429864,13.231838375518308,8.593891106944763,7.965899728101842,6.764519918808437
Nickel,5.479064855916995,3.251371500404739,2.4699065393227024,2.328218861944641,2.2746799427392266,2.1170427091353217
"Graphite, natural",10.56048907223994,2.375202796757283,1.9199998638351485,1.7107515120052983,1.5713021237336144,1.2998167566447274
