Metal,Stage,Reagent,Value
"Lithium, spodumene - carbonate",Concentration,"nitric acid, without water, in 50% solution state",0.0
"Lithium, spodumene - carbonate",Concentration,hydrogen fluoride,0.0
"Lithium, spodumene - carbonate",Concentration,"nitrogen, liquid",0.0
"Lithium, spodumene - carbonate",Concentration,"phosphoric acid, fertiliser grade, without water, in 70% solution state",0.0
"Lithium, spodumene - carbonate",Concentration,iron sulfate,0.0
"Lithium, spodumene - carbonate",Concentration,"aluminium sulfate, powder",0.0
"Lithium, spodumene - carbonate",Concentration,"chlorine, liquid",0.0
"Lithium, spodumene - carbonate",Concentration,"chlorine, gaseous",0.0
"Lithium, spodumene - carbonate",Concentration,"iron (III) chloride, without water, in 40% solution state",0.0
"Lithium, spodumene - carbonate",Concentration,"lime, hydrated, packed",0.0
"Lithium, spodumene - carbonate",Concentration,sodium hydrogen sulfite,0.0
"Lithium, spodumene - carbonate",Concentration,sodium pyrophosphate,0.0
"Lithium, spodumene - carbonate",Concentration,"ammonia, anhydrous, liquid",0.0
"Lithium, spodumene - carbonate",Concentration,hydrogen sulfide,0.0
"Lithium, spodumene - carbonate",Concentration,"oxygen, liquid",0.0
"Lithium, spodumene - carbonate",Concentration,formaldehyde,0.0
"Lithium, spodumene - carbonate",Concentration,"hydrogen, gaseous, medium pressure, merchant",0.0
"Lithium, spodumene - carbonate",Concentration,naphthalene sulfonic acid,0.0
"Lithium, spodumene - carbonate",Concentration,"sodium chloride, powder",0.0
"Lithium, spodumene - carbonate",Concentration,"sodium sulfate, anhydrite",0.0
"Lithium, spodumene - carbonate",Concentration,"sulfur dioxide, liquid",0.0
"Lithium, spodumene - carbonate",Concentration,coal tar,0.0
"Lithium, spodumene - carbonate",Refining,"neutralising agent, sodium hydroxide-equivalent",0.0
"Lithium, spodumene - carbonate",Refining,"hydrochloric acid, without water, in 30% solution state",0.0
"Lithium, spodumene - carbonate",Refining,"soda ash, light",0.9208888898127473
"Lithium, spodumene - carbonate",Refining,"quicklime, milled, packed",0.0
"Lithium, spodumene - carbonate",Refining,sulfuric acid,0.3111289676637334
"Lithium, spodumene - carbonate",Refining,"sodium hydroxide, without water, in 50% solution state",0.07479332862322823
"Lithium, spodumene - carbonate",Refining,"quicklime, milled, loose",0.8446506972249784
"Lithium, spodumene - carbonate",Refining,"hydrogen peroxide, without water, in 50% solution state",0.0
"Lithium, spodumene - carbonate",Refining,"carbon dioxide, liquid",0.0
"Lithium, spodumene - carbonate",Refining,bentonite,0.0
"Lithium, spodumene - carbonate",Refining,sulfur,0.0
"Lithium, spodumene - carbonate",Refining,magnesium oxide,0.0
"Lithium, spodumene - carbonate",Refining,"limestone, crushed, for mill",0.0
"Lithium, spodumene - carbonate",Refining,"lime, hydraulic",0.0
"Lithium, spodumene - carbonate",Refining,"soda ash, dense",0.0
"Lithium, spodumene - carbonate",Refining,ammonium bicarbonate,0.0
"Lithium, spodumene - carbonate",Refining,lime,0.0
"Lithium, spodumene - carbonate",Refining,"limestone, crushed, washed",0.0
"Lithium, spodumene - carbonate",Refining,disodium disulphite,0.0
"Lithium, spodumene - carbonate",Refining,"nitric acid, without water, in 50% solution state",0.0
"Lithium, spodumene - carbonate",Refining,hydrogen fluoride,0.0
"Lithium, spodumene - carbonate",Refining,"nitrogen, liquid",0.0
"Lithium, spodumene - carbonate",Refining,"phosphoric acid, fertiliser grade, without water, in 70% solution state",0.0
"Lithium, spodumene - carbonate",Refining,iron sulfate,0.0
"Lithium, spodumene - carbonate",Refining,"aluminium sulfate, powder",0.0
"Lithium, spodumene - carbonate",Refining,"chlorine, liquid",0.0
"Lithium, spodumene - carbonate",Refining,"chlorine, gaseous",0.0
"Lithium, spodumene - carbonate",Refining,"iron (III) chloride, without water, in 40% solution state",0.0
"Lithium, spodumene - carbonate",Refining,"lime, hydrated, packed",0.0
"Lithium, spodumene - carbonate",Refining,sodium hydrogen sulfite,0.0
"Lithium, spodumene - carbonate",Refining,sodium pyrophosphate,0.0
"Lithium, spodumene - carbonate",Refining,"ammonia, anhydrous, liquid",0.0
"Lithium, spodumene - carbonate",Refining,hydrogen sulfide,0.0
"Lithium, spodumene - carbonate",Refining,"oxygen, liquid",0.0
"Lithium, spodumene - carbonate",Refining,formaldehyde,0.0
"Lithium, spodumene - carbonate",Refining,"hydrogen, gaseous, medium pressure, merchant",0.0
"Lithium, spodumene - carbonate",Refining,naphthalene sulfonic acid,0.0
"Lithium, spodumene - carbonate",Refining,"sodium chloride, powder",0.0
"Lithium, spodumene - carbonate",Refining,"sodium sulfate, anhydrite",0.0
"Lithium, spodumene - carbonate",Refining,"sulfur dioxide, liquid",0.0
"Lithium, spodumene - carbonate",Refining,coal tar,0.0
Cobalt,Mining,"neutralising agent, sodium hydroxide-equivalent",0.0
Cobalt,Mining,"hydrochloric acid, without water, in 30% solution state",0.0
Cobalt,Mining,"soda ash, light",0.0
Cobalt,Mining,"quicklime, milled, packed",0.0
Cobalt,Mining,sulfuric acid,0.0
Cobalt,Mining,"sodium hydroxide, without water, in 50% solution state",0.0
Cobalt,Mining,"quicklime, milled, loose",0.0
Cobalt,Mining,"hydrogen peroxide, without water, in 50% solution state",0.0
Cobalt,Mining,"carbon dioxide, liquid",0.0
Cobalt,Mining,bentonite,0.0
Cobalt,Mining,sulfur,0.0
Cobalt,Mining,magnesium oxide,0.0
Cobalt,Mining,"limestone, crushed, for mill",0.0
Cobalt,Mining,"lime, hydraulic",0.0
Cobalt,Mining,"soda ash, dense",0.0
Cobalt,Mining,ammonium bicarbonate,0.0
Cobalt,Mining,lime,0.0
Cobalt,Mining,"limestone, crushed, washed",0.0
Cobalt,Mining,disodium disulphite,0.0
Cobalt,Mining,"nitric acid, without water, in 50% solution state",0.0
Cobalt,Mining,hydrogen fluoride,0.0
Cobalt,Mining,"nitrogen, liquid",0.0
Cobalt,Mining,"phosphoric acid, fertiliser grade, without water, in 70% solution state",0.0
Cobalt,Mining,iron sulfate,0.0
Cobalt,Mining,"aluminium sulfate, powder",0.0
Cobalt,Mining,"chlorine, liquid",0.0
Cobalt,Mining,"chlorine, gaseous",0.0
Cobalt,Mining,"iron (III) chloride, without water, in 40% solution state",0.0
Cobalt,Mining,"lime, hydrated, packed",0.0
Cobalt,Mining,sodium hydrogen sulfite,0.0
Cobalt,Mining,sodium pyrophosphate,0.0
Cobalt,Mining,"ammonia, anhydrous, liquid",0.0
Cobalt,Mining,hydrogen sulfide,0.0
Cobalt,Mining,"oxygen, liquid",0.0
Cobalt,Mining,formaldehyde,0.0
