Raw material,Impact category,BAU,ONSITE_ELEC,ENERGY_EFF,PROCESS_HEAT,CHEMICALS_DECARB,GLOBAL_ELEC
"Lithium, brine",Particulate matter formation,3.6370550863900735e-07,3.212227823692351e-07,3.160675954781217e-07,3.101449304393047e-07,2.2857596913244685e-07,2.1808650223831948e-07
"Lithium, brine",Water use,2.078269121961269,2.02184710366521,2.0174733205988917,1.9978690436463433,2.0054573521964087,1.9162702197003905
"Lithium, brine",Photochemical oxidant formation,0.02572577578489648,0.020754405533459155,0.020176596183176895,0.014289409249264778,0.012541147458267357,0.011746331186101506
"Lithium, brine",Acidification,0.03202461167791551,0.024802684034774876,0.02449185087800437,0.023137601094278974,0.019335745596696242,0.018061290926314
"Lithium, brine",Climate change,7.702184421104804,6.712789457297303,6.527136216583938,3.5554702737861827,2.8720079356683557,2.594067195672666
"Lithium, brine","Ecotoxicity, freshwater",81.57371915178214,81.20815736747295,80.94030140321405,79.50785112447744,82.27414356086808,81.8713196715873
"Lithium, brine","Energy resources, non-renewable",100.29676681809642,88.39250705831611,85.52139455577027,37.66856380882148,31.724360949931032,27.88843921554657
"Lithium, brine","Eutrophication, freshwater",0.001394231865038805,0.0007395075308575458,0.0007338873260886735,0.0007487339922203814,0.0006368225892404493,0.0005128858908954255
"Lithium, brine",Ozone depletion,1.2181631707239932e-07,1.1315450954209438e-07,1.096299824910916e-07,6.08742093200454e-08,6.093973300760943e-08,5.896696637105562e-08
"Lithium, brine","Eutrophication, terrestrial",0.09124258913761962,0.07302483709830779,0.07178208756577546,0.06569817478461461,0.0612473889103172,0.05867027802998054
"Lithium, brine","Human toxicity, carcinogenic",1.5769603624959266e-08,1.6275597063897386e-08,1.589310970511785e-08,1.4271284900469892e-08,1.9769203662033366e-08,1.9899154708274552e-08
"Lithium, brine","Human toxicity, non-carcinogenic",4.0220946992641077e-08,3.9256141998956035e-08,3.881519751160349e-08,4.108039217999291e-08,5.1589949157623806e-08,5.085942686105605e-08
"Lithium, brine",Ionising radiation,0.0904759543387433,0.09175921729763817,0.09088252519041115,0.08484842553855103,0.06588485733638191,0.01601008237258083
"Lithium, brine",Land use,16.11820358568617,15.76576361969476,15.670031691877368,16.03554428933194,14.216564919671773,13.83560973927312
"Lithium, brine","Material resources, minerals/metals",6.632416525311746e-05,7.161860404737781e-05,7.123588946880116e-05,7.976729688385665e-05,0.0001063163051522059,0.00010774505621842455
"Lithium, brine","Eutrophication, marine",0.0064702341180715795,0.004684464661134268,0.00457139425072503,0.003943687378041143,0.0033536356035553574,0.0030840617654523776
"Lithium, spodumene",Particulate matter formation,2.556479493588044e-06,2.3255809020403173e-06,2.261259337965274e-06,1.3517378125174525e-06,1.2821752366682263e-06,1.2263739760843817e-06
"Lithium, spodumene",Ozone depletion,2.1269571293140254e-07,2.0788595452551002e-07,2.0743980540122952e-07,2.426216449473449e-07,2.326522029740718e-07,2.2450240292426645e-07
"Lithium, spodumene","Material resources, minerals/metals",0.00014611129045787876,0.0001569902502600881,0.0001561508946199571,0.0004225114673294733,0.0004389482520079225,0.00044595552402132524
"Lithium, spodumene",Land use,48.04398107940474,43.904926621946096,43.01045804665261,70.90657342086143,69.70641606897138,67.99694393200299
"Lithium, spodumene",Ionising radiation,0.3910047577609326,0.25443235550652293,0.25182271800506656,0.3775806486140179,0.2120558088489624,0.015191819743010775
